shot,sweep_time,slit_size
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
0409_1635_20ns_1ns_westbeam_Visar1,20,500
